# Resolved addresses found in D:\College\Semester-5\FCS_FoundationstoComputerSecurity\Foundations-to-Computer-Security-Assignments\Assignment-3\HW3_Resources\Part 5\log.pcap

# Comments
#
# No entries.

# Hosts
#
# 662 entries.

8.254.53.254	bc05.ajnm.me.c.itmdb.net
64.94.107.31	ac-na.quantserve.com.akadns.net
74.125.225.46	www-google-analytics.l.google.com
69.164.16.0	tealium.hs.llnwd.net
64.94.107.37	anycast-americas.quantserve.com.akadns.net
74.125.225.52	www2.l.google.com
66.135.202.211	rover.ebay.com
157.166.224.169	dmtns02.turner.com
64.215.255.89	widgets-lf.clearspring-lf.com.akadns.net
209.11.220.220	autos.nytimes.com
138.108.7.20	secure-us.imrworldwide.com
74.125.225.58	pagead.l.doubleclick.net
209.11.220.226	realestateads.nytimes.com
66.171.230.15	n1w20.akamai.net
54.240.188.153	d1zgderxoe1a.cloudfront.net
208.78.71.4	ns3.p04.dynect.net
204.13.251.3	ns4.p03.dynect.net
108.162.201.61	www.franchisesolutions.com
23.15.7.64	a1725.dspl.akamai.net
199.181.175.188	www.nytadvertising.com
192.31.80.30	d.gtld-servers.net
204.93.213.70	ssl.shopify.com
208.94.148.13	ns5.dnsmadeeasy.com
23.21.160.167	receive.inplay.tubemogul.com
54.240.188.52	d1zgderxoe1a.cloudfront.net
64.237.45.34	dns2.nettica.com
69.25.81.1	ns2.internapcdn.net
199.181.175.75	homedelivery.nytimes.com
75.102.59.82	ns5.no-ip.com
208.71.195.162	hiring.monster.com.gslb.monster.com
138.108.6.20	secure-us.imrworldwide.com
208.78.71.34	ns3.p34.dynect.net
75.101.161.94	portalcluster.mashery.com
216.69.185.4	ns07.domaincontrol.com
54.240.160.139	d1z2jf7jlzjs58.cloudfront.net
208.78.70.4	ns1.p04.dynect.net
204.16.254.6	ns2.no-ip.com
74.125.233.31	id.l.google.com
149.48.228.122	pbskids.org
204.13.250.3	ns2.p03.dynect.net
66.235.139.152	condenast.112.2o7.net
4.23.51.51	c.ns.nsatc.net
205.134.233.218	mtbaldy.com
192.35.51.30	f.gtld-servers.net
64.215.255.24	widgets-lf.clearspring-lf.com.akadns.net
204.11.109.61	a.tribalfusion.com
66.150.28.2	gtm03.wallst.com
141.211.144.46	weblogin.umich.edu
192.54.112.30	h.gtld-servers.net
157.166.255.24	www.money.com
23.63.162.110	e566.dspe1.akamaiedge.net
74.125.225.130	youtube.com
91.198.174.4	ns2.wikimedia.org
107.20.228.194	lb-meter-svc-317837344.us-east-1.elb.amazonaws.com
72.21.208.215	ns-924.amazon.com
66.220.152.16	facebook.com
23.20.23.108	pixel.prod2.invitemedia.com
208.78.70.34	ns1.p34.dynect.net
184.169.71.33	orig-10004.twitter.cotcdn.net
74.125.225.136	youtube.com
204.246.162.5	ns-912.amazon.com
132.174.1.137	kil-dns1.oclc.org
64.215.255.48	widgets-lf.clearspring-lf.com.akadns.net
64.208.176.44	n1b.akamai.net
74.125.225.142	youtube.com
208.80.154.233	foundation-lb.eqiad.wikimedia.org
192.122.184.75	a248.e.akamai.net
69.171.239.12	a.ns.facebook.com
64.208.138.253	ib.adnxs.com
194.109.9.100	ns2.xs4all.nl
95.100.168.131	ns6-131.akadns.org
170.149.168.151	theater.nytimes.com
130.150.102.20	ns2.csu.net
192.122.184.81	a248.e.akamai.net
74.125.225.154	pagead46.l.doubleclick.net
107.21.255.185	gci-prod-lb-743530114.us-east-1.elb.amazonaws.com
216.239.38.10	ns4.google.com
192.122.184.87	n5e.akamai.net
170.149.168.157	tv.nytimes.com
199.59.150.12	r.twimg.com
192.33.14.30	b.gtld-servers.net
91.198.165.73	images.bit-tech.net
74.125.225.35	www-google-analytics.l.google.com
54.240.188.124	d1zgderxoe1a.cloudfront.net
205.251.196.52	ns-1076.awsdns-06.org
192.122.184.93	n1g.akamai.net
64.208.176.199	n6g.akamaiedge.net
74.125.225.41	www-google-analytics.l.google.com
